Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
mal_comm_1,motor_activity_log,,text,Comm 1,,,,,,,,,,,,,
mal_as_2,motor_activity_log,,dropdown,AS 2,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_2,motor_activity_log,,dropdown,HW 2,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_2,motor_activity_log,,dropdown,Why 2,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_2,motor_activity_log,,text,Comm 2,,,,,,,,,,,,,
mal_as_3,motor_activity_log,,dropdown,AS 3,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_3,motor_activity_log,,dropdown,HW 3,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_3,motor_activity_log,,dropdown,Why 3,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_3,motor_activity_log,,text,Comm 3,,,,,,,,,,,,,
mal_as_4,motor_activity_log,,dropdown,AS 4,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_4,motor_activity_log,,dropdown,HW 4,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_4,motor_activity_log,,dropdown,Why 4,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_4,motor_activity_log,,text,Comm 4,,,,,,,,,,,,,
mal_as_5,motor_activity_log,,dropdown,AS 5,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_5,motor_activity_log,,dropdown,HW 5,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_5,motor_activity_log,,dropdown,Why 5,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_5,motor_activity_log,,text,Comm 5,,,,,,,,,,,,,
mal_table_6_10,motor_activity_log,TASKS 6-10,descriptive,<table border='1' style='width:100%; border-collapse: collapse; table-layout: fixed;'><tr style='background-color: #f2f2f2;'><th style='width:31%; padding: 5px;'>Task</th><th style='width:12%; padding: 5px;'>AS (0-5)</th><th style='width:12%; padding: 5px;'>HW (0-5)</th><th style='width:12%; padding: 5px;'>Code (1-5)</th><th style='width:33%; padding: 5px;'>Comments</th></tr><tr><td style='padding: 5px;'>6. Wiping off a table</td><td style='padding: 5px;'>{mal_as_6}</td><td style='padding: 5px;'>{mal_hw_6}</td><td style='padding: 5px;'>{mal_why_6}</td><td style='padding: 5px;'>{mal_comm_6}</td></tr><tr><td style='padding: 5px;'>7. Opening a refrigerator</td><td style='padding: 5px;'>{mal_as_7}</td><td style='padding: 5px;'>{mal_hw_7}</td><td style='padding: 5px;'>{mal_why_7}</td><td style='padding: 5px;'>{mal_comm_7}</td></tr><tr><td style='padding: 5px;'>8. Move object shelf to shelf</td><td style='padding: 5px;'>{mal_as_8}</td><td style='padding: 5px;'>{mal_hw_8}</td><td style='padding: 5px;'>{mal_why_8}</td><td style='padding: 5px;'>{mal_comm_8}</td></tr><tr><td style='padding: 5px;'>9. Picking up a cup</td><td style='padding: 5px;'>{mal_as_9}</td><td style='padding: 5px;'>{mal_hw_9}</td><td style='padding: 5px;'>{mal_why_9}</td><td style='padding: 5px;'>{mal_comm_9}</td></tr><tr><td style='padding: 5px;'>10. Drinking from a cup</td><td style='padding: 5px;'>{mal_as_10}</td><td style='padding: 5px;'>{mal_hw_10}</td><td style='padding: 5px;'>{mal_why_10}</td><td style='padding: 5px;'>{mal_comm_10}</td></tr></table>,,,,,,,,,,,,,
mal_as_6,motor_activity_log,,dropdown,AS 6,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_6,motor_activity_log,,dropdown,HW 6,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_6,motor_activity_log,,dropdown,Why 6,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_6,motor_activity_log,,text,Comm 6,,,,,,,,,,,,,
mal_as_7,motor_activity_log,,dropdown,AS 7,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_7,motor_activity_log,,dropdown,HW 7,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_7,motor_activity_log,,dropdown,Why 7,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_7,motor_activity_log,,text,Comm 7,,,,,,,,,,,,,
mal_as_8,motor_activity_log,,dropdown,AS 8,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_8,motor_activity_log,,dropdown,HW 8,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_8,motor_activity_log,,dropdown,Why 8,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_8,motor_activity_log,,text,Comm 8,,,,,,,,,,,,,
mal_as_9,motor_activity_log,,dropdown,AS 9,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_9,motor_activity_log,,dropdown,HW 9,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_9,motor_activity_log,,dropdown,Why 9,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_9,motor_activity_log,,text,Comm 9,,,,,,,,,,,,,
mal_as_10,motor_activity_log,,dropdown,AS 10,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_10,motor_activity_log,,dropdown,HW 10,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_10,motor_activity_log,,dropdown,Why 10,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_10,motor_activity_log,,text,Comm 10,,,,,,,,,,,,,
mal_table_11_15,motor_activity_log,TASKS 11-15,descriptive,<table border='1' style='width:100%; border-collapse: collapse; table-layout: fixed;'><tr style='background-color: #f2f2f2;'><th style='width:31%; padding: 5px;'>Task</th><th style='width:12%; padding: 5px;'>AS (0-5)</th><th style='width:12%; padding: 5px;'>HW (0-5)</th><th style='width:12%; padding: 5px;'>Code (1-5)</th><th style='width:33%; padding: 5px;'>Comments</th></tr><tr><td style='padding: 5px;'>11. Picking up fork or spoon</td><td style='padding: 5px;'>{mal_as_11}</td><td style='padding: 5px;'>{mal_hw_11}</td><td style='padding: 5px;'>{mal_why_11}</td><td style='padding: 5px;'>{mal_comm_11}</td></tr><tr><td style='padding: 5px;'>12. Eating with fork or spoon</td><td style='padding: 5px;'>{mal_as_12}</td><td style='padding: 5px;'>{mal_hw_12}</td><td style='padding: 5px;'>{mal_why_12}</td><td style='padding: 5px;'>{mal_comm_12}</td></tr><tr><td style='padding: 5px;'>13. Combing hair</td><td style='padding: 5px;'>{mal_as_13}</td><td style='padding: 5px;'>{mal_hw_13}</td><td style='padding: 5px;'>{mal_why_13}</td><td style='padding: 5px;'>{mal_comm_13}</td></tr><tr><td style='padding: 5px;'>14. Brushing teeth</td><td style='padding: 5px;'>{mal_as_14}</td><td style='padding: 5px;'>{mal_hw_14}</td><td style='padding: 5px;'>{mal_why_14}</td><td style='padding: 5px;'>{mal_comm_14}</td></tr><tr><td style='padding: 5px;'>15. Shaving or applying makeup</td><td style='padding: 5px;'>{mal_as_15}</td><td style='padding: 5px;'>{mal_hw_15}</td><td style='padding: 5px;'>{mal_why_15}</td><td style='padding: 5px;'>{mal_comm_15}</td></tr></table>,,,,,,,,,,,,,
mal_as_11,motor_activity_log,,dropdown,AS 11,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_11,motor_activity_log,,dropdown,HW 11,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_11,motor_activity_log,,dropdown,Why 11,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_11,motor_activity_log,,text,Comm 11,,,,,,,,,,,,,
mal_as_12,motor_activity_log,,dropdown,AS 12,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_12,motor_activity_log,,dropdown,HW 12,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_12,motor_activity_log,,dropdown,Why 12,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_12,motor_activity_log,,text,Comm 12,,,,,,,,,,,,,
mal_as_13,motor_activity_log,,dropdown,AS 13,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_13,motor_activity_log,,dropdown,HW 13,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_13,motor_activity_log,,dropdown,Why 13,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_13,motor_activity_log,,text,Comm 13,,,,,,,,,,,,,
mal_as_14,motor_activity_log,,dropdown,AS 14,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_14,motor_activity_log,,dropdown,HW 14,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_14,motor_activity_log,,dropdown,Why 14,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_14,motor_activity_log,,text,Comm 14,,,,,,,,,,,,,
mal_as_15,motor_activity_log,,dropdown,AS 15,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_15,motor_activity_log,,dropdown,HW 15,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_15,motor_activity_log,,dropdown,Why 15,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_15,motor_activity_log,,text,Comm 15,,,,,,,,,,,,,
mal_table_16_20,motor_activity_log,TASKS 16-20,descriptive,<table border='1' style='width:100%; border-collapse: collapse; table-layout: fixed;'><tr style='background-color: #f2f2f2;'><th style='width:31%; padding: 5px;'>Task</th><th style='width:12%; padding: 5px;'>AS (0-5)</th><th style='width:12%; padding: 5px;'>HW (0-5)</th><th style='width:12%; padding: 5px;'>Code (1-5)</th><th style='width:33%; padding: 5px;'>Comments</th></tr><tr><td style='padding: 5px;'>16. Use washcloth to bathe</td><td style='padding: 5px;'>{mal_as_16}</td><td style='padding: 5px;'>{mal_hw_16}</td><td style='padding: 5px;'>{mal_why_16}</td><td style='padding: 5px;'>{mal_comm_16}</td></tr><tr><td style='padding: 5px;'>17. Drying hands</td><td style='padding: 5px;'>{mal_as_17}</td><td style='padding: 5px;'>{mal_hw_17}</td><td style='padding: 5px;'>{mal_why_17}</td><td style='padding: 5px;'>{mal_comm_17}</td></tr><tr><td style='padding: 5px;'>18. Drying face</td><td style='padding: 5px;'>{mal_as_18}</td><td style='padding: 5px;'>{mal_hw_18}</td><td style='padding: 5px;'>{mal_why_18}</td><td style='padding: 5px;'>{mal_comm_18}</td></tr><tr><td style='padding: 5px;'>19. Put on shirt or jacket</td><td style='padding: 5px;'>{mal_as_19}</td><td style='padding: 5px;'>{mal_hw_19}</td><td style='padding: 5px;'>{mal_why_19}</td><td style='padding: 5px;'>{mal_comm_19}</td></tr><tr><td style='padding: 5px;'>20. Pulling on pants</td><td style='padding: 5px;'>{mal_as_20}</td><td style='padding: 5px;'>{mal_hw_20}</td><td style='padding: 5px;'>{mal_why_20}</td><td style='padding: 5px;'>{mal_comm_20}</td></tr></table>,,,,,,,,,,,,,
mal_as_16,motor_activity_log,,dropdown,AS 16,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_16,motor_activity_log,,dropdown,HW 16,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_16,motor_activity_log,,dropdown,Why 16,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_16,motor_activity_log,,text,Comm 16,,,,,,,,,,,,,
mal_as_17,motor_activity_log,,dropdown,AS 17,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_17,motor_activity_log,,dropdown,HW 17,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_17,motor_activity_log,,dropdown,Why 17,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_17,motor_activity_log,,text,Comm 17,,,,,,,,,,,,,
mal_as_18,motor_activity_log,,dropdown,AS 18,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_18,motor_activity_log,,dropdown,HW 18,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_18,motor_activity_log,,dropdown,Why 18,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_18,motor_activity_log,,text,Comm 18,,,,,,,,,,,,,
mal_as_19,motor_activity_log,,dropdown,AS 19,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_19,motor_activity_log,,dropdown,HW 19,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_19,motor_activity_log,,dropdown,Why 19,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_19,motor_activity_log,,text,Comm 19,,,,,,,,,,,,,
mal_as_20,motor_activity_log,,dropdown,AS 20,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_hw_20,motor_activity_log,,dropdown,HW 20,"0, 0 | 0.5, 0.5 | 1, 1 | 1.5, 1.5 | 2, 2 | 2.5, 2.5 | 3, 3 | 3.5, 3.5 | 4, 4 | 4.5, 4.5 | 5, 5",,,,,,,,,,,,
mal_why_20,motor_activity_log,,dropdown,Why 20,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,,,,,,,
mal_comm_20,motor_activity_log,,text,Comm 20,,,,,,,,,,,,,
