Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
arat_grip_9_r,action_research_arm_test,,radio,Grip 9 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grip_10_l,action_research_arm_test,,radio,Grip 10 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_grip_10_r,action_research_arm_test,,radio,Grip 10 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_sub_grip_l,action_research_arm_test,,calc,Subtotal Grip LEFT,[arat_grip_7_l]+[arat_grip_8_l]+[arat_grip_9_l]+[arat_grip_10_l],,,,,,,,,,,,,
arat_sub_grip_r,action_research_arm_test,,calc,Subtotal Grip RIGHT,[arat_grip_7_r]+[arat_grip_8_r]+[arat_grip_9_r]+[arat_grip_10_r],,,,,,,,,,,,,
arat_pinch_table,action_research_arm_test,PINCH,descriptive,"<table border='1' style='width:100%; border-collapse: collapse; table-layout: fixed;'><tr style='background-color: #f2f2f2;'><th style='width:40%; padding: 5px;'>Item</th><th style='width:30%; padding: 5px;'>Left Score</th><th style='width:30%; padding: 5px;'>Right Score</th></tr><tr><td style='padding: 5px;'>11. Ball bearing 10mm (thumb/idx)</td><td style='padding: 5px;'>{arat_pinch_11_l}</td><td style='padding: 5px;'>{arat_pinch_11_r}</td></tr><tr><td style='padding: 5px;'>12. Marble 15mm (thumb/idx)</td><td style='padding: 5px;'>{arat_pinch_12_l}</td><td style='padding: 5px;'>{arat_pinch_12_r}</td></tr><tr><td style='padding: 5px;'>13. Ball bearing 10mm (thumb/mid)</td><td style='padding: 5px;'>{arat_pinch_13_l}</td><td style='padding: 5px;'>{arat_pinch_13_r}</td></tr><tr><td style='padding: 5px;'>14. Ball bearing 10mm (thumb/ring)</td><td style='padding: 5px;'>{arat_pinch_14_l}</td><td style='padding: 5px;'>{arat_pinch_14_r}</td></tr><tr><td style='padding: 5px;'>15. Marble 15mm (thumb/ring)</td><td style='padding: 5px;'>{arat_pinch_15_l}</td><td style='padding: 5px;'>{arat_pinch_15_r}</td></tr><tr><td style='padding: 5px;'>16. Ball bearing 10mm (thumb/little)</td><td style='padding: 5px;'>{arat_pinch_16_l}</td><td style='padding: 5px;'>{arat_pinch_16_r}</td></tr></table>",,,,,,,,,,,,,
arat_pinch_11_l,action_research_arm_test,,radio,Pinch 11 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_11_r,action_research_arm_test,,radio,Pinch 11 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_12_l,action_research_arm_test,,radio,Pinch 12 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_12_r,action_research_arm_test,,radio,Pinch 12 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_13_l,action_research_arm_test,,radio,Pinch 13 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_13_r,action_research_arm_test,,radio,Pinch 13 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_14_l,action_research_arm_test,,radio,Pinch 14 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_14_r,action_research_arm_test,,radio,Pinch 14 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_15_l,action_research_arm_test,,radio,Pinch 15 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_15_r,action_research_arm_test,,radio,Pinch 15 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_16_l,action_research_arm_test,,radio,Pinch 16 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_pinch_16_r,action_research_arm_test,,radio,Pinch 16 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_sub_pinch_l,action_research_arm_test,,calc,Subtotal Pinch LEFT,[arat_pinch_11_l]+[arat_pinch_12_l]+[arat_pinch_13_l]+[arat_pinch_14_l]+[arat_pinch_15_l]+[arat_pinch_16_l],,,,,,,,,,,,,
arat_sub_pinch_r,action_research_arm_test,,calc,Subtotal Pinch RIGHT,[arat_pinch_11_r]+[arat_pinch_12_r]+[arat_pinch_13_r]+[arat_pinch_14_r]+[arat_pinch_15_r]+[arat_pinch_16_r],,,,,,,,,,,,,
arat_gross_table,action_research_arm_test,GROSS MOVEMENT,descriptive,"<table border='1' style='width:100%; border-collapse: collapse; table-layout: fixed;'><tr style='background-color: #f2f2f2;'><th style='width:40%; padding: 5px;'>Item</th><th style='width:30%; padding: 5px;'>Left Score</th><th style='width:30%; padding: 5px;'>Right Score</th></tr><tr><td style='padding: 5px;'>17. Hand to top of head</td><td style='padding: 5px;'>{arat_gross_17_l}</td><td style='padding: 5px;'>{arat_gross_17_r}</td></tr><tr><td style='padding: 5px;'>18. Hand to mouth</td><td style='padding: 5px;'>{arat_gross_18_l}</td><td style='padding: 5px;'>{arat_gross_18_r}</td></tr><tr><td style='padding: 5px;'>19. Hand to back of head</td><td style='padding: 5px;'>{arat_gross_19_l}</td><td style='padding: 5px;'>{arat_gross_19_r}</td></tr></table>",,,,,,,,,,,,,
arat_gross_17_l,action_research_arm_test,,radio,Gross 17 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_gross_17_r,action_research_arm_test,,radio,Gross 17 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_gross_18_l,action_research_arm_test,,radio,Gross 18 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_gross_18_r,action_research_arm_test,,radio,Gross 18 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_gross_19_l,action_research_arm_test,,radio,Gross 19 Left,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_gross_19_r,action_research_arm_test,,radio,Gross 19 Right,"0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,,,LH,,,,
arat_sub_gross_l,action_research_arm_test,,calc,Subtotal Gross LEFT,[arat_gross_17_l]+[arat_gross_18_l]+[arat_gross_19_l],,,,,,,,,,,,,
arat_sub_gross_r,action_research_arm_test,,calc,Subtotal Gross RIGHT,[arat_gross_17_r]+[arat_gross_18_r]+[arat_gross_19_r],,,,,,,,,,,,,
arat_total_l,action_research_arm_test,,calc,Total ARAT Score LEFT,[arat_sub_grasp_l]+[arat_sub_grip_l]+[arat_sub_pinch_l]+[arat_sub_gross_l],,,,,,,,,,,,,
arat_total_r,action_research_arm_test,,calc,Total ARAT Score RIGHT,[arat_sub_grasp_r]+[arat_sub_grip_r]+[arat_sub_pinch_r]+[arat_sub_gross_r],,,,,,,,,,,,,
arat_notes,action_research_arm_test,,notes,Notes / Comments,,,,,,,,,,,,,,,
